,States,Years,Quarter,Pincodes,Rergistered_users
519,Arunachal Pradesh,2018,2,790116,1213
520,Arunachal Pradesh,2018,3,791110,4872
521,Arunachal Pradesh,2018,3,791111,4610
522,Arunachal Pradesh,2018,3,791113,3178
523,Arunachal Pradesh,2018,3,791102,3077
524,Arunachal Pradesh,2018,3,790104,2328
525,Arunachal Pradesh,2018,3,792103,2067
526,Arunachal Pradesh,2018,3,791001,1907
527,Arunachal Pradesh,2018,3,792001,1819
528,Arunachal Pradesh,2018,3,790116,1623
529,Arunachal Pradesh,2018,3,791109,1612
530,Arunachal Pradesh,2018,4,791110,6599
531,Arunachal Pradesh,2018,4,791111,6225
532,Arunachal Pradesh,2018,4,791113,4115
533,Arunachal Pradesh,2018,4,791102,4109
534,Arunachal Pradesh,2018,4,790104,3034
535,Arunachal Pradesh,2018,4,792103,2741
536,Arunachal Pradesh,2018,4,792001,2577
537,Arunachal Pradesh,2018,4,791001,2444
538,Arunachal Pradesh,2018,4,790116,2206
539,Arunachal Pradesh,2018,4,791109,2071
540,Arunachal Pradesh,2019,1,791110,8094
541,Arunachal Pradesh,2019,1,791111,7673
542,Arunachal Pradesh,2019,1,791113,5140
543,Arunachal Pradesh,2019,1,791102,5030
544,Arunachal Pradesh,2019,1,790104,3751
545,Arunachal Pradesh,2019,1,792103,3477
546,Arunachal Pradesh,2019,1,792001,3160
547,Arunachal Pradesh,2019,1,791001,3103
548,Arunachal Pradesh,2019,1,790116,2798
549,Arunachal Pradesh,2019,1,791109,2519
550,Arunachal Pradesh,2019,2,791110,10055
551,Arunachal Pradesh,2019,2,791111,9597
552,Arunachal Pradesh,2019,2,791113,6418
553,Arunachal Pradesh,2019,2,791102,6283
554,Arunachal Pradesh,2019,2,790104,4437
555,Arunachal Pradesh,2019,2,792103,4369
556,Arunachal Pradesh,2019,2,791001,3960
557,Arunachal Pradesh,2019,2,792001,3918
558,Arunachal Pradesh,2019,2,790116,3335
559,Arunachal Pradesh,2019,2,791109,3151
560,Arunachal Pradesh,2019,3,791110,11834
