,States,Years,Quarter,Pincodes,Rergistered_users
151,andaman-&-nicobar-islands,2021,4,744105,12300
152,andaman-&-nicobar-islands,2021,4,744101,11623
153,andaman-&-nicobar-islands,2021,4,744102,7813
154,andaman-&-nicobar-islands,2021,4,744202,3815
155,andaman-&-nicobar-islands,2021,4,744107,3247
156,andaman-&-nicobar-islands,2021,4,744104,2962
157,andaman-&-nicobar-islands,2021,4,744112,2411
158,andaman-&-nicobar-islands,2021,4,744211,2200
159,andaman-&-nicobar-islands,2021,4,744205,1902
160,andaman-&-nicobar-islands,2022,1,744103,15011
161,andaman-&-nicobar-islands,2022,1,744105,13070
162,andaman-&-nicobar-islands,2022,1,744101,12300
163,andaman-&-nicobar-islands,2022,1,744102,8271
164,andaman-&-nicobar-islands,2022,1,744202,4107
165,andaman-&-nicobar-islands,2022,1,744107,3455
166,andaman-&-nicobar-islands,2022,1,744104,3146
167,andaman-&-nicobar-islands,2022,1,744112,2552
168,andaman-&-nicobar-islands,2022,1,744211,2344
169,andaman-&-nicobar-islands,2022,1,744205,2034
170,andaman-&-nicobar-islands,2022,2,744103,15799
171,andaman-&-nicobar-islands,2022,2,744105,13791
172,andaman-&-nicobar-islands,2022,2,744101,12947
173,andaman-&-nicobar-islands,2022,2,744102,8709
174,andaman-&-nicobar-islands,2022,2,744202,4361
175,andaman-&-nicobar-islands,2022,2,744107,3674
176,andaman-&-nicobar-islands,2022,2,744104,3319
177,andaman-&-nicobar-islands,2022,2,744112,2700
178,andaman-&-nicobar-islands,2022,2,744211,2471
179,andaman-&-nicobar-islands,2022,2,744205,2162
180,andaman-&-nicobar-islands,2022,3,744103,16666
181,andaman-&-nicobar-islands,2022,3,744105,14503
182,andaman-&-nicobar-islands,2022,3,744101,13649
183,andaman-&-nicobar-islands,2022,3,744102,9148
184,andaman-&-nicobar-islands,2022,3,744202,4572
185,andaman-&-nicobar-islands,2022,3,744107,3868
186,andaman-&-nicobar-islands,2022,3,744104,3493
187,andaman-&-nicobar-islands,2022,3,744112,2837
188,andaman-&-nicobar-islands,2022,3,744211,2577
189,andaman-&-nicobar-islands,2022,3,744205,2268
190,andaman-&-nicobar-islands,2022,4,744103,17406
191,andaman-&-nicobar-islands,2022,4,744105,15185
192,andaman-&-nicobar-islands,2022,4,744101,14337
193,andaman-&-nicobar-islands,2022,4,744102,9591
194,andaman-&-nicobar-islands,2022,4,744202,4760
195,andaman-&-nicobar-islands,2022,4,744107,4051
