,States,Years,Quarter,Districts,Registered_users,Appopens
6905,Karnataka,2019,3,mysuru district,601068,15381179
6906,Karnataka,2019,3,chitradurga district,175696,3445767
6907,Karnataka,2019,3,kalaburagi district,306756,6218351
6908,Karnataka,2019,3,ramanagara district,205821,5830730
6909,Karnataka,2019,3,mandya district,234243,5402921
6910,Karnataka,2019,3,kodagu district,73300,1142114
6911,Karnataka,2019,3,chikkamagaluru district,140270,2245116
6912,Karnataka,2019,3,haveri district,138074,2239923
6913,Karnataka,2019,3,ballari district,376264,9897166
6914,Karnataka,2019,3,belagavi district,568340,10591496
6915,Karnataka,2019,3,kolar district,277877,7359399
6916,Karnataka,2019,3,uttara kannada district,177303,2570391
6917,Karnataka,2019,3,tumakuru district,366543,8373477
6918,Karnataka,2019,3,yadgir district,90633,1739841
6919,Karnataka,2019,3,bengaluru urban district,6383771,286764483
6920,Karnataka,2019,3,chikkaballapura district,191086,5085160
6921,Karnataka,2019,3,davanagere district,259239,5292577
6922,Karnataka,2019,3,bagalkote district,227893,4396253
6923,Karnataka,2019,3,vijayapura district,272575,5507794
6924,Karnataka,2019,3,koppal district,140202,2868241
6925,Karnataka,2019,3,bidar district,211382,4744766
6926,Karnataka,2019,3,bengaluru rural district,361924,12165553
6927,Karnataka,2019,3,raichur district,219963,4884784
6928,Karnataka,2019,3,chamarajanagara district,83829,1556076
6929,Karnataka,2019,3,dakshina kannada district,363240,5760451
6930,Karnataka,2019,3,hassan district,239587,4197871
6931,Karnataka,2019,3,dharwad district,397243,10736033
6932,Karnataka,2019,3,shivamogga district,246474,4354833
6933,Karnataka,2019,3,udupi district,191625,2732005
6934,Karnataka,2019,3,gadag district,112854,2198909
6935,Karnataka,2019,4,mysuru district,686169,20282620
6936,Karnataka,2019,4,chitradurga district,204763,4761975
6937,Karnataka,2019,4,kalaburagi district,355228,8600804
6938,Karnataka,2019,4,ramanagara district,238556,7996637
6939,Karnataka,2019,4,mandya district,272705,7321773
6940,Karnataka,2019,4,kodagu district,86496,1676527
6941,Karnataka,2019,4,chikkamagaluru district,164190,3246391
6942,Karnataka,2019,4,haveri district,160702,3069637
6943,Karnataka,2019,4,ballari district,429391,13342591
6944,Karnataka,2019,4,belagavi district,656749,14298924
6945,Karnataka,2019,4,kolar district,321279,9946553
6946,Karnataka,2019,4,uttara kannada district,202180,3454632
6947,Karnataka,2019,4,tumakuru district,428605,11843986
6948,Karnataka,2019,4,yadgir district,105445,2422884
6949,Karnataka,2019,4,bengaluru urban district,7016836,353757216
6950,Karnataka,2019,4,chikkaballapura district,221609,6890491
6951,Karnataka,2019,4,davanagere district,298755,7287464
6952,Karnataka,2019,4,bagalkote district,260054,5878530
6953,Karnataka,2019,4,vijayapura district,314097,7480611
6954,Karnataka,2019,4,koppal district,162861,3948062
6955,Karnataka,2019,4,bidar district,243303,6709326
6956,Karnataka,2019,4,bengaluru rural district,411896,16114910
6957,Karnataka,2019,4,raichur district,253236,6892107
6958,Karnataka,2019,4,chamarajanagara district,98140,2069842
6959,Karnataka,2019,4,dakshina kannada district,423031,7875886
6960,Karnataka,2019,4,hassan district,279728,5917518
6961,Karnataka,2019,4,dharwad district,452178,13718357
6962,Karnataka,2019,4,shivamogga district,286945,6123526
6963,Karnataka,2019,4,udupi district,220313,3719466
6964,Karnataka,2019,4,gadag district,129976,3025624
6965,Karnataka,2020,1,mysuru district,764697,23157562
6966,Karnataka,2020,1,chitradurga district,233840,6183299
6967,Karnataka,2020,1,kalaburagi district,402676,10731948
6968,Karnataka,2020,1,ramanagara district,267981,9733240
6969,Karnataka,2020,1,mandya district,309136,9387333
6970,Karnataka,2020,1,kodagu district,98612,1929841
6971,Karnataka,2020,1,chikkamagaluru district,186487,3874339
6972,Karnataka,2020,1,haveri district,184781,3960695
6973,Karnataka,2020,1,ballari district,481004,16047162
6974,Karnataka,2020,1,belagavi district,746925,17121517
6975,Karnataka,2020,1,kolar district,361750,12303181
6976,Karnataka,2020,1,uttara kannada district,226792,4118524
6977,Karnataka,2020,1,tumakuru district,488995,14944882
6978,Karnataka,2020,1,yadgir district,121589,3264873
6979,Karnataka,2020,1,bengaluru urban district,7564577,365358412
6980,Karnataka,2020,1,chikkaballapura district,250163,8606320
6981,Karnataka,2020,1,davanagere district,337445,8693016
6982,Karnataka,2020,1,bagalkote district,293935,7199781
6983,Karnataka,2020,1,vijayapura district,357428,9313061
6984,Karnataka,2020,1,koppal district,185866,5100820
6985,Karnataka,2020,1,bidar district,275072,8639094
6986,Karnataka,2020,1,bengaluru rural district,455608,18109090
6987,Karnataka,2020,1,raichur district,285797,8561095
6988,Karnataka,2020,1,chamarajanagara district,112400,2677247
6989,Karnataka,2020,1,dakshina kannada district,481992,9167438
6990,Karnataka,2020,1,hassan district,318850,7555719
6991,Karnataka,2020,1,dharwad district,502446,15318060
6992,Karnataka,2020,1,shivamogga district,324957,7363924
6993,Karnataka,2020,1,udupi district,247646,4331891
6994,Karnataka,2020,1,gadag district,147533,3734672
6995,Karnataka,2020,2,mysuru district,837003,18069895
6996,Karnataka,2020,2,chitradurga district,267374,7921698
6997,Karnataka,2020,2,kalaburagi district,455786,12273057
6998,Karnataka,2020,2,ramanagara district,297300,9630491
6999,Karnataka,2020,2,mandya district,346777,10682341
7000,Karnataka,2020,2,kodagu district,112121,2083487
7001,Karnataka,2020,2,chikkamagaluru district,211842,4688043
7002,Karnataka,2020,2,haveri district,212822,4828428
7003,Karnataka,2020,2,ballari district,537204,16857518
7004,Karnataka,2020,2,belagavi district,849149,18286088
7005,Karnataka,2020,2,kolar district,404048,13758597
7006,Karnataka,2020,2,uttara kannada district,257257,4832970
7007,Karnataka,2020,2,tumakuru district,552123,16600911
7008,Karnataka,2020,2,yadgir district,140500,4149274
7009,Karnataka,2020,2,bengaluru urban district,8028070,217406465
7010,Karnataka,2020,2,chikkaballapura district,280849,9635695
7011,Karnataka,2020,2,davanagere district,380810,9219076
7012,Karnataka,2020,2,bagalkote district,334436,8204201
7013,Karnataka,2020,2,vijayapura district,407483,10678723
7014,Karnataka,2020,2,koppal district,212354,6151219
7015,Karnataka,2020,2,bidar district,312859,11031911
7016,Karnataka,2020,2,bengaluru rural district,496292,14889541
7017,Karnataka,2020,2,raichur district,321809,9717951
7018,Karnataka,2020,2,chamarajanagara district,128971,3414811
7019,Karnataka,2020,2,dakshina kannada district,543603,7580908
7020,Karnataka,2020,2,hassan district,361759,9097572
7021,Karnataka,2020,2,dharwad district,554235,12377558
7022,Karnataka,2020,2,shivamogga district,365651,7734883
7023,Karnataka,2020,2,udupi district,277972,4383464
7024,Karnataka,2020,2,gadag district,166907,4323299
7025,Karnataka,2020,3,mysuru district,923296,26595871
7026,Karnataka,2020,3,chitradurga district,300719,10159890
7027,Karnataka,2020,3,kalaburagi district,507894,16580065
7028,Karnataka,2020,3,ramanagara district,329112,12931411
7029,Karnataka,2020,3,mandya district,386051,13267940
7030,Karnataka,2020,3,kodagu district,127160,2791774
7031,Karnataka,2020,3,chikkamagaluru district,240177,6269375
7032,Karnataka,2020,3,haveri district,243591,6367113
7033,Karnataka,2020,3,ballari district,595935,23172796
7034,Karnataka,2020,3,belagavi district,951629,24325882
7035,Karnataka,2020,3,kolar district,449470,18721704
7036,Karnataka,2020,3,uttara kannada district,287730,6238135
7037,Karnataka,2020,3,tumakuru district,618091,21713087
7038,Karnataka,2020,3,yadgir district,157834,5211314
7039,Karnataka,2020,3,bengaluru urban district,8611452,322860571
7040,Karnataka,2020,3,chikkaballapura district,313480,13001841
7041,Karnataka,2020,3,davanagere district,426961,12583087
7042,Karnataka,2020,3,bagalkote district,376754,11151542
7043,Karnataka,2020,3,vijayapura district,458119,14492659
7044,Karnataka,2020,3,koppal district,239771,8347850
7045,Karnataka,2020,3,bidar district,347354,13891230
7046,Karnataka,2020,3,bengaluru rural district,543893,22521395
7047,Karnataka,2020,3,raichur district,357794,13008515
7048,Karnataka,2020,3,chamarajanagara district,145166,4038938
7049,Karnataka,2020,3,dakshina kannada district,617552,11393774
7050,Karnataka,2020,3,hassan district,407970,11515402
7051,Karnataka,2020,3,dharwad district,608659,17999599
7052,Karnataka,2020,3,shivamogga district,411810,10667405
7053,Karnataka,2020,3,udupi district,314731,6056848
7054,Karnataka,2020,3,gadag district,187395,5806199
7055,Karnataka,2020,4,mysuru district,1015945,36538089
7056,Karnataka,2020,4,chitradurga district,333450,12510031
7057,Karnataka,2020,4,kalaburagi district,559718,21222389
7058,Karnataka,2020,4,ramanagara district,361201,16517041
7059,Karnataka,2020,4,mandya district,425378,16160451
7060,Karnataka,2020,4,kodagu district,141874,3987098
7061,Karnataka,2020,4,chikkamagaluru district,268100,8071176
7062,Karnataka,2020,4,haveri district,271755,8140283
7063,Karnataka,2020,4,ballari district,654751,30046637
7064,Karnataka,2020,4,belagavi district,1051934,31134675
7065,Karnataka,2020,4,kolar district,495224,23730229
7066,Karnataka,2020,4,uttara kannada district,318811,8207702
7067,Karnataka,2020,4,tumakuru district,682441,27104012
7068,Karnataka,2020,4,yadgir district,174982,6596547
7069,Karnataka,2020,4,bengaluru urban district,9286243,456667561
7070,Karnataka,2020,4,chikkaballapura district,345355,15886888
7071,Karnataka,2020,4,davanagere district,471813,16184025
7072,Karnataka,2020,4,bagalkote district,415594,14221516
7073,Karnataka,2020,4,vijayapura district,504403,17980063
7074,Karnataka,2020,4,koppal district,266212,10887251
7075,Karnataka,2020,4,bidar district,381843,17145651
7076,Karnataka,2020,4,bengaluru rural district,593872,30396643
7077,Karnataka,2020,4,raichur district,393385,16304518
7078,Karnataka,2020,4,chamarajanagara district,161907,5235691
7079,Karnataka,2020,4,dakshina kannada district,690826,16059638
7080,Karnataka,2020,4,hassan district,453802,14765001
7081,Karnataka,2020,4,dharwad district,663973,24402584
7082,Karnataka,2020,4,shivamogga district,455648,13529152
7083,Karnataka,2020,4,udupi district,352464,8435951
7084,Karnataka,2020,4,gadag district,207278,7442197
7085,Karnataka,2021,1,mysuru district,1094627,42998885
7086,Karnataka,2021,1,chitradurga district,359774,13146825
7087,Karnataka,2021,1,kalaburagi district,602937,24147877
7088,Karnataka,2021,1,ramanagara district,389219,18160635
7089,Karnataka,2021,1,mandya district,458538,17976756
7090,Karnataka,2021,1,kodagu district,153053,4337845
7091,Karnataka,2021,1,chikkamagaluru district,289630,8631829
7092,Karnataka,2021,1,haveri district,293899,8803231
7093,Karnataka,2021,1,ballari district,705364,32592485
7094,Karnataka,2021,1,belagavi district,1132987,34752351
7095,Karnataka,2021,1,kolar district,534157,25549286
7096,Karnataka,2021,1,uttara kannada district,343355,9070620
7097,Karnataka,2021,1,tumakuru district,736609,30118851
7098,Karnataka,2021,1,yadgir district,189271,7214734
7099,Karnataka,2021,1,bengaluru urban district,9955387,554419656
7100,Karnataka,2021,1,chikkaballapura district,372241,17087913
7101,Karnataka,2021,1,davanagere district,508179,17621765
7102,Karnataka,2021,1,bagalkote district,447765,15053079
7103,Karnataka,2021,1,vijayapura district,543181,19138250
7104,Karnataka,2021,1,koppal district,287597,11497598
7105,Karnataka,2021,1,bidar district,411728,19569082
7106,Karnataka,2021,1,bengaluru rural district,639890,34184669
7107,Karnataka,2021,1,raichur district,424252,17480505
7108,Karnataka,2021,1,chamarajanagara district,174952,5520986
7109,Karnataka,2021,1,dakshina kannada district,746964,18655914
7110,Karnataka,2021,1,hassan district,490609,16390159
7111,Karnataka,2021,1,dharwad district,714056,28863170
7112,Karnataka,2021,1,shivamogga district,491220,14935102
7113,Karnataka,2021,1,udupi district,380553,9126747
7114,Karnataka,2021,1,gadag district,223838,7870580
7115,Karnataka,2021,2,mysuru district,1168608,36371793
7116,Karnataka,2021,2,chitradurga district,386380,29255441
7117,Karnataka,2021,2,kalaburagi district,645639,42069112
7118,Karnataka,2021,2,ramanagara district,416739,23827957
7119,Karnataka,2021,2,mandya district,491102,25908721
7120,Karnataka,2021,2,kodagu district,163742,8488815
7121,Karnataka,2021,2,chikkamagaluru district,311052,17822948
7122,Karnataka,2021,2,haveri district,315491,16739886
7123,Karnataka,2021,2,ballari district,755860,41859992
7124,Karnataka,2021,2,belagavi district,1213293,44624929
7125,Karnataka,2021,2,kolar district,571929,30373692
7126,Karnataka,2021,2,uttara kannada district,367399,16680175
7127,Karnataka,2021,2,tumakuru district,790148,50740889
7128,Karnataka,2021,2,yadgir district,203336,16112341
7129,Karnataka,2021,2,bengaluru urban district,10604609,300938617
7130,Karnataka,2021,2,chikkaballapura district,399185,25947736
7131,Karnataka,2021,2,davanagere district,543821,25570785
7132,Karnataka,2021,2,bagalkote district,479927,22075518
7133,Karnataka,2021,2,vijayapura district,582278,34636839
7134,Karnataka,2021,2,koppal district,308936,21252031
7135,Karnataka,2021,2,bidar district,441065,31639098
7136,Karnataka,2021,2,bengaluru rural district,684759,26632282
7137,Karnataka,2021,2,raichur district,455771,29994576
7138,Karnataka,2021,2,chamarajanagara district,187469,12338325
7139,Karnataka,2021,2,dakshina kannada district,798331,15802873
7140,Karnataka,2021,2,hassan district,526240,28769195
7141,Karnataka,2021,2,dharwad district,763441,25161458
7142,Karnataka,2021,2,shivamogga district,526831,23646109
7143,Karnataka,2021,2,udupi district,407264,11064393
7144,Karnataka,2021,2,gadag district,240378,14743188
7145,Karnataka,2021,3,mysuru district,1250860,48272120
7146,Karnataka,2021,3,chitradurga district,417163,36001947
7147,Karnataka,2021,3,kalaburagi district,694567,50256674
7148,Karnataka,2021,3,ramanagara district,448065,29062035
7149,Karnataka,2021,3,mandya district,528361,29967986
7150,Karnataka,2021,3,kodagu district,175878,11030231
7151,Karnataka,2021,3,chikkamagaluru district,335416,23262222
7152,Karnataka,2021,3,haveri district,340458,21691814
7153,Karnataka,2021,3,ballari district,814170,54246591
7154,Karnataka,2021,3,belagavi district,1304051,58354498
7155,Karnataka,2021,3,kolar district,615004,37214686
7156,Karnataka,2021,3,uttara kannada district,395160,21489269
7157,Karnataka,2021,3,tumakuru district,850678,59870049
7158,Karnataka,2021,3,yadgir district,220170,19673784
7159,Karnataka,2021,3,bengaluru urban district,11321012,423965215
7160,Karnataka,2021,3,chikkaballapura district,429845,31188426
7161,Karnataka,2021,3,davanagere district,584571,32345530
7162,Karnataka,2021,3,bagalkote district,517079,28300711
7163,Karnataka,2021,3,vijayapura district,627795,43855268
7164,Karnataka,2021,3,koppal district,333722,27282817
7165,Karnataka,2021,3,bidar district,475158,37639565
7166,Karnataka,2021,3,bengaluru rural district,735551,35599266
7167,Karnataka,2021,3,raichur district,492375,38619508
7168,Karnataka,2021,3,chamarajanagara district,202168,15829867
7169,Karnataka,2021,3,dakshina kannada district,855634,21412918
7170,Karnataka,2021,3,hassan district,566904,34788129
7171,Karnataka,2021,3,dharwad district,818797,34415050
7172,Karnataka,2021,3,shivamogga district,566838,29165333
7173,Karnataka,2021,3,udupi district,437345,12928299
7174,Karnataka,2021,3,gadag district,259426,19051279
7175,Karnataka,2021,4,mysuru district,1332579,84514082
7176,Karnataka,2021,4,chitradurga district,447221,30870741
7177,Karnataka,2021,4,kalaburagi district,743146,50879550
7178,Karnataka,2021,4,ramanagara district,478668,38380184
7179,Karnataka,2021,4,mandya district,564725,40149943
7180,Karnataka,2021,4,kodagu district,187714,9753349
7181,Karnataka,2021,4,chikkamagaluru district,358975,20950700
7182,Karnataka,2021,4,haveri district,365257,21102930
7183,Karnataka,2021,4,ballari district,871581,62467773
7184,Karnataka,2021,4,belagavi district,1393290,78020362
7185,Karnataka,2021,4,kolar district,657607,52731050
7186,Karnataka,2021,4,uttara kannada district,422171,19025373
7187,Karnataka,2021,4,tumakuru district,909976,63705876
7188,Karnataka,2021,4,yadgir district,236490,16328222
7189,Karnataka,2021,4,bengaluru urban district,12038775,818047839
7190,Karnataka,2021,4,chikkaballapura district,459988,36037978
7191,Karnataka,2021,4,davanagere district,624570,39536906
7192,Karnataka,2021,4,bagalkote district,554099,33560109
7193,Karnataka,2021,4,vijayapura district,672340,39909595
7194,Karnataka,2021,4,koppal district,357841,27558588
7195,Karnataka,2021,4,bidar district,508686,40940770
7196,Karnataka,2021,4,bengaluru rural district,785717,67129022
7197,Karnataka,2021,4,raichur district,528246,36140668
7198,Karnataka,2021,4,chamarajanagara district,216215,13328889
7199,Karnataka,2021,4,dakshina kannada district,912133,36536741
7200,Karnataka,2021,4,hassan district,606707,41053977
7201,Karnataka,2021,4,dharwad district,873847,53145629
7202,Karnataka,2021,4,shivamogga district,606024,34524043
7203,Karnataka,2021,4,udupi district,466878,18132024
7204,Karnataka,2021,4,gadag district,278180,17095600
7205,Karnataka,2022,1,mysuru district,1410095,60212662
7206,Karnataka,2022,1,chitradurga district,476042,75601255
7207,Karnataka,2022,1,kalaburagi district,788989,93474452
7208,Karnataka,2022,1,ramanagara district,507965,39888160
7209,Karnataka,2022,1,mandya district,599734,50077987
7210,Karnataka,2022,1,kodagu district,198895,24301885
7211,Karnataka,2022,1,chikkamagaluru district,381212,50668007
7212,Karnataka,2022,1,haveri district,388930,37608581
7213,Karnataka,2022,1,ballari district,926458,72863480
7214,Karnataka,2022,1,belagavi district,1477767,113297735
7215,Karnataka,2022,1,kolar district,697883,46713217
7216,Karnataka,2022,1,uttara kannada district,448070,40902658
7217,Karnataka,2022,1,tumakuru district,966743,108955851
7218,Karnataka,2022,1,yadgir district,252073,39910614
7219,Karnataka,2022,1,bengaluru urban district,12707664,143835471
7220,Karnataka,2022,1,chikkaballapura district,488750,44271673
7221,Karnataka,2022,1,davanagere district,662751,51647249
7222,Karnataka,2022,1,bagalkote district,589114,54473279
7223,Karnataka,2022,1,vijayapura district,714643,87459432
7224,Karnataka,2022,1,koppal district,381091,53448713
7225,Karnataka,2022,1,bidar district,540642,60658637
7226,Karnataka,2022,1,bengaluru rural district,833284,27030248
7227,Karnataka,2022,1,raichur district,562507,72023729
7228,Karnataka,2022,1,chamarajanagara district,229823,31024564
7229,Karnataka,2022,1,dakshina kannada district,965225,24685281
7230,Karnataka,2022,1,hassan district,644154,71061495
7231,Karnataka,2022,1,dharwad district,925787,35977756
7232,Karnataka,2022,1,shivamogga district,643097,59603281
7233,Karnataka,2022,1,udupi district,494914,19689319
7234,Karnataka,2022,1,gadag district,296047,35687374
7235,Karnataka,2022,2,mysuru district,1482427,72127262
7236,Karnataka,2022,2,chitradurga district,502600,96368927
7237,Karnataka,2022,2,kalaburagi district,831684,108949662
7238,Karnataka,2022,2,ramanagara district,535182,51578618
7239,Karnataka,2022,2,mandya district,632244,62828162
7240,Karnataka,2022,2,kodagu district,209364,29788249
7241,Karnataka,2022,2,chikkamagaluru district,401827,63884162
7242,Karnataka,2022,2,haveri district,410677,48041831
7243,Karnataka,2022,2,ballari district,977999,88538682
7244,Karnataka,2022,2,belagavi district,1556041,133664651
7245,Karnataka,2022,2,kolar district,735683,54100392
7246,Karnataka,2022,2,uttara kannada district,472053,48879458
7247,Karnataka,2022,2,tumakuru district,1018947,136619621
7248,Karnataka,2022,2,yadgir district,266445,51753560
7249,Karnataka,2022,2,bengaluru urban district,13342916,130050013
7250,Karnataka,2022,2,chikkaballapura district,515355,51313083
7251,Karnataka,2022,2,davanagere district,698130,64853726
7252,Karnataka,2022,2,bagalkote district,621654,62852153
7253,Karnataka,2022,2,vijayapura district,753598,103460934
7254,Karnataka,2022,2,koppal district,402659,69882234
7255,Karnataka,2022,2,bidar district,570697,71050814
7256,Karnataka,2022,2,bengaluru rural district,877678,29163677
7257,Karnataka,2022,2,raichur district,594248,86117589
7258,Karnataka,2022,2,chamarajanagara district,242198,41236327
7259,Karnataka,2022,2,dakshina kannada district,1014820,29291316
7260,Karnataka,2022,2,hassan district,678916,92008285
7261,Karnataka,2022,2,dharwad district,974500,40983508
7262,Karnataka,2022,2,shivamogga district,677386,77584028
7263,Karnataka,2022,2,udupi district,521045,24607963
7264,Karnataka,2022,2,gadag district,312474,43780950
7265,Karnataka,2022,3,mysuru district,1556384,72319040
7266,Karnataka,2022,3,chitradurga district,528557,107271050
7267,Karnataka,2022,3,kalaburagi district,874282,110059604
7268,Karnataka,2022,3,ramanagara district,563154,53626831
7269,Karnataka,2022,3,mandya district,665227,71746022
7270,Karnataka,2022,3,kodagu district,219407,30433150
7271,Karnataka,2022,3,chikkamagaluru district,421862,67297573
7272,Karnataka,2022,3,haveri district,432627,49838706
7273,Karnataka,2022,3,ballari district,1030428,90880443
7274,Karnataka,2022,3,belagavi district,1635855,140101425
7275,Karnataka,2022,3,kolar district,774245,56113522
7276,Karnataka,2022,3,uttara kannada district,496232,49924522
7277,Karnataka,2022,3,tumakuru district,1070793,150906339
7278,Karnataka,2022,3,yadgir district,280412,58514122
7279,Karnataka,2022,3,bengaluru urban district,13997602,121199714
7280,Karnataka,2022,3,chikkaballapura district,542150,55200382
7281,Karnataka,2022,3,davanagere district,734360,65060403
7282,Karnataka,2022,3,bagalkote district,654927,66299341
7283,Karnataka,2022,3,vijayapura district,792750,109909660
7284,Karnataka,2022,3,koppal district,424581,74449956
7285,Karnataka,2022,3,bidar district,600650,71847800
7286,Karnataka,2022,3,bengaluru rural district,924127,28699442
7287,Karnataka,2022,3,raichur district,626205,91804424
7288,Karnataka,2022,3,chamarajanagara district,254664,45621827
7289,Karnataka,2022,3,dakshina kannada district,1065741,29745949
7290,Karnataka,2022,3,hassan district,713468,91147841
7291,Karnataka,2022,3,dharwad district,1024771,43016397
7292,Karnataka,2022,3,shivamogga district,711717,75645732
7293,Karnataka,2022,3,udupi district,547661,23631824
7294,Karnataka,2022,3,gadag district,329155,45703393
7295,Karnataka,2022,4,mysuru district,1627802,150994790
7296,Karnataka,2022,4,chitradurga district,552065,55215237
7297,Karnataka,2022,4,kalaburagi district,913258,75680531
7298,Karnataka,2022,4,ramanagara district,589205,67109026
7299,Karnataka,2022,4,mandya district,695736,76092900
7300,Karnataka,2022,4,kodagu district,227995,18581380
7301,Karnataka,2022,4,chikkamagaluru district,439498,42015819
7302,Karnataka,2022,4,haveri district,452477,41544154
7303,Karnataka,2022,4,ballari district,1079558,87804157
7304,Karnataka,2022,4,belagavi district,1709145,137476151
7305,Karnataka,2022,4,kolar district,810354,78457036
7306,Karnataka,2022,4,uttara kannada district,517643,33670229
7307,Karnataka,2022,4,tumakuru district,1118547,108007687
7308,Karnataka,2022,4,yadgir district,292816,26668954
7309,Karnataka,2022,4,bengaluru urban district,14654455,1137875291
7310,Karnataka,2022,4,chikkaballapura district,567348,55214879
7311,Karnataka,2022,4,davanagere district,768021,68709360
7312,Karnataka,2022,4,bagalkote district,685069,56926164
7313,Karnataka,2022,4,vijayapura district,828346,60288985
7314,Karnataka,2022,4,koppal district,443983,43123975
7315,Karnataka,2022,4,bidar district,628455,60958252
7316,Karnataka,2022,4,bengaluru rural district,968384,101125704
7317,Karnataka,2022,4,raichur district,655421,52764596
7318,Karnataka,2022,4,chamarajanagara district,265884,27819993
7319,Karnataka,2022,4,dakshina kannada district,1112661,62061010
7320,Karnataka,2022,4,hassan district,744993,79244191
7321,Karnataka,2022,4,dharwad district,1073312,78733050
7322,Karnataka,2022,4,shivamogga district,743138,66146848
7323,Karnataka,2022,4,udupi district,571724,32590884
7324,Karnataka,2022,4,gadag district,344405,28743778
7325,Karnataka,2023,1,mysuru district,1698270,90161448
7326,Karnataka,2023,1,chitradurga district,577276,113201382
7327,Karnataka,2023,1,kalaburagi district,954489,127885464
7328,Karnataka,2023,1,ramanagara district,615896,59493340
7329,Karnataka,2023,1,mandya district,727044,76581612
7330,Karnataka,2023,1,kodagu district,237585,41570834
7331,Karnataka,2023,1,chikkamagaluru district,459072,92973020
7332,Karnataka,2023,1,haveri district,473622,66564417
7333,Karnataka,2023,1,ballari district,1129725,97207505
7334,Karnataka,2023,1,belagavi district,1785167,175385020
7335,Karnataka,2023,1,kolar district,847439,53202056
7336,Karnataka,2023,1,uttara kannada district,540413,75109453
7337,Karnataka,2023,1,tumakuru district,1169009,167953401
7338,Karnataka,2023,1,yadgir district,306691,62015727
7339,Karnataka,2023,1,bengaluru urban district,15290372,116442486
7340,Karnataka,2023,1,chikkaballapura district,593235,60081192
7341,Karnataka,2023,1,davanagere district,802829,73247103
7342,Karnataka,2023,1,bagalkote district,716409,88033550
7343,Karnataka,2023,1,vijayapura district,865920,131690212
7344,Karnataka,2023,1,koppal district,464500,77932820
7345,Karnataka,2023,1,bidar district,657828,77934973
7346,Karnataka,2023,1,bengaluru rural district,1012098,25835126
7347,Karnataka,2023,1,raichur district,686370,98007401
7348,Karnataka,2023,1,chamarajanagara district,277848,56831393
7349,Karnataka,2023,1,dakshina kannada district,1159914,38770742
7350,Karnataka,2023,1,hassan district,778649,113958295
7351,Karnataka,2023,1,dharwad district,1121054,45460764
7352,Karnataka,2023,1,shivamogga district,776127,111399847
7353,Karnataka,2023,1,udupi district,596396,31444575
7354,Karnataka,2023,1,gadag district,360179,51650130
7355,Karnataka,2023,2,mysuru district,1762422,94585344
7356,Karnataka,2023,2,chitradurga district,602604,114330700
7357,Karnataka,2023,2,kalaburagi district,994209,123700970
7358,Karnataka,2023,2,ramanagara district,640873,62650300
7359,Karnataka,2023,2,mandya district,757769,71305905
7360,Karnataka,2023,2,kodagu district,247271,39151365
7361,Karnataka,2023,2,chikkamagaluru district,478558,97585935
7362,Karnataka,2023,2,haveri district,494417,66268211
7363,Karnataka,2023,2,ballari district,1176489,105780552
7364,Karnataka,2023,2,belagavi district,1857344,175115603
7365,Karnataka,2023,2,kolar district,882083,42821050
7366,Karnataka,2023,2,uttara kannada district,562688,73290486
7367,Karnataka,2023,2,tumakuru district,1217798,162505361
7368,Karnataka,2023,2,yadgir district,320726,67126342
7369,Karnataka,2023,2,bengaluru urban district,15812243,109050334
7370,Karnataka,2023,2,chikkaballapura district,618312,58263816
7371,Karnataka,2023,2,davanagere district,835923,83984294
7372,Karnataka,2023,2,bagalkote district,746402,89087339
7373,Karnataka,2023,2,vijayapura district,903119,136963174
7374,Karnataka,2023,2,koppal district,484678,86475486
7375,Karnataka,2023,2,bidar district,685705,78127731
7376,Karnataka,2023,2,bengaluru rural district,1051872,26709014
7377,Karnataka,2023,2,raichur district,716341,100745658
7378,Karnataka,2023,2,chamarajanagara district,290061,60958111
7379,Karnataka,2023,2,dakshina kannada district,1203271,43505507
7380,Karnataka,2023,2,hassan district,811766,111902953
7381,Karnataka,2023,2,dharwad district,1163908,44016905
7382,Karnataka,2023,2,shivamogga district,807865,108008641
7383,Karnataka,2023,2,udupi district,619756,32967508
7384,Karnataka,2023,2,gadag district,375841,54592170
7385,Karnataka,2023,3,mysuru district,1828718,84878465
7386,Karnataka,2023,3,chitradurga district,627912,90300540
7387,Karnataka,2023,3,kalaburagi district,1035286,117955918
7388,Karnataka,2023,3,ramanagara district,666449,51460417
7389,Karnataka,2023,3,mandya district,787757,60535905
7390,Karnataka,2023,3,kodagu district,256757,56927932
7391,Karnataka,2023,3,chikkamagaluru district,497918,71721597
7392,Karnataka,2023,3,haveri district,515508,67875245
7393,Karnataka,2023,3,ballari district,1225188,92275079
7394,Karnataka,2023,3,belagavi district,1932291,184999352
7395,Karnataka,2023,3,kolar district,918103,34428376
7396,Karnataka,2023,3,uttara kannada district,585835,53330016
7397,Karnataka,2023,3,tumakuru district,1266959,127607098
7398,Karnataka,2023,3,yadgir district,334813,64097492
7399,Karnataka,2023,3,bengaluru urban district,16382332,111010006
7400,Karnataka,2023,3,chikkaballapura district,643678,97937729
7401,Karnataka,2023,3,davanagere district,869642,67188321
7402,Karnataka,2023,3,bagalkote district,777716,72453215
7403,Karnataka,2023,3,vijayapura district,940972,124730680
7404,Karnataka,2023,3,koppal district,504941,74560969
7405,Karnataka,2023,3,bidar district,714233,55882623
7406,Karnataka,2023,3,bengaluru rural district,1093777,28830150
7407,Karnataka,2023,3,raichur district,747336,85129518
