,States,Years,Quarter,Districts,Transaction_count,Transaction_amount
43,andaman-&-nicobar-islands,2021,3,south andaman district,382418,1116789010.6459613
44,andaman-&-nicobar-islands,2021,3,nicobars district,20754,74980519.3281361
45,andaman-&-nicobar-islands,2021,4,north and middle andaman district,53115,156486112.28732437
46,andaman-&-nicobar-islands,2021,4,south andaman district,558571,1694794708.0093334
47,andaman-&-nicobar-islands,2021,4,nicobars district,24437,81329281.0269996
48,andaman-&-nicobar-islands,2022,1,north and middle andaman district,60059,161624878.52274162
49,andaman-&-nicobar-islands,2022,1,south andaman district,705512,1872991195.902684
50,andaman-&-nicobar-islands,2022,1,nicobars district,29177,94414127.64974089
51,andaman-&-nicobar-islands,2022,2,north and middle andaman district,72573,195693167.78757268
52,andaman-&-nicobar-islands,2022,2,south andaman district,954875,2357326563.362071
53,andaman-&-nicobar-islands,2022,2,nicobars district,43769,132900618.93062323
54,andaman-&-nicobar-islands,2022,3,north and middle andaman district,79574,211581970.34202656
55,andaman-&-nicobar-islands,2022,3,south andaman district,1455255,2967719400.849909
56,andaman-&-nicobar-islands,2022,3,nicobars district,49550,131330400.94545083
57,andaman-&-nicobar-islands,2022,4,north and middle andaman district,93297,241431284.3558103
58,andaman-&-nicobar-islands,2022,4,south andaman district,1835592,3600887266.099448
59,andaman-&-nicobar-islands,2022,4,nicobars district,58646,142355853.97352526
60,andaman-&-nicobar-islands,2023,1,north and middle andaman district,152187,392080332.0
61,andaman-&-nicobar-islands,2023,1,south andaman district,2030078,3867385426.0
62,andaman-&-nicobar-islands,2023,1,nicobars district,94127,202062829.0
63,andaman-&-nicobar-islands,2023,2,north and middle andaman district,181149,462414675.0
64,andaman-&-nicobar-islands,2023,2,south andaman district,2417058,4297737197.0
65,andaman-&-nicobar-islands,2023,2,nicobars district,109568,230192364.0
66,andaman-&-nicobar-islands,2023,3,north and middle andaman district,198547,495623030.0
67,andaman-&-nicobar-islands,2023,3,south andaman district,2771397,4462201588.0
68,andaman-&-nicobar-islands,2023,3,nicobars district,128432,253772173.0
69,andaman-&-nicobar-islands,2023,4,north and middle andaman district,230234,540759631.0
70,andaman-&-nicobar-islands,2023,4,south andaman district,3311962,5417264997.0
71,andaman-&-nicobar-islands,2023,4,nicobars district,153587,311527871.0
72,andaman-&-nicobar-islands,2024,1,north and middle andaman district,266400,601756070.0
73,andaman-&-nicobar-islands,2024,1,south andaman district,3751724,5952049462.0
74,andaman-&-nicobar-islands,2024,1,nicobars district,166796,305346303.0
75,andhra-pradesh,2018,1,east godavari district,943935,1235785515.5997267
76,andhra-pradesh,2018,1,srikakulam district,458921,587778028.9183557
77,andhra-pradesh,2018,1,spsr nellore district,531612,676643237.8069417
78,andhra-pradesh,2018,1,vizianagaram district,420990,505783445.78162
79,andhra-pradesh,2018,1,visakhapatnam district,1256469,1749966196.5049946
80,andhra-pradesh,2018,1,prakasam district,534757,748990775.8676485
81,andhra-pradesh,2018,1,anantapur district,638664,788830646.0324218
82,andhra-pradesh,2018,1,ysr district,487333,681481931.0936775
83,andhra-pradesh,2018,1,west godavari district,577090,853547668.7532666
84,andhra-pradesh,2018,1,kurnool district,679623,764905298.7350456
85,andhra-pradesh,2018,1,chittoor district,830324,1009621878.0870512
86,andhra-pradesh,2018,1,guntur district,815932,1108686589.0266829
87,andhra-pradesh,2018,1,krishna district,863935,1284255179.6156201
88,andhra-pradesh,2018,2,east godavari district,1221677,2168914928.4239016
89,andhra-pradesh,2018,2,srikakulam district,559868,929392017.3670053
90,andhra-pradesh,2018,2,spsr nellore district,780454,1542057934.0108962
91,andhra-pradesh,2018,2,vizianagaram district,529588,811711367.5080048
92,andhra-pradesh,2018,2,visakhapatnam district,1641192,2987853607.2939095
93,andhra-pradesh,2018,2,prakasam district,739991,1571167562.1276276
94,andhra-pradesh,2018,2,anantapur district,937023,1690366079.0557928
95,andhra-pradesh,2018,2,ysr district,690842,1415500367.6861844
96,andhra-pradesh,2018,2,west godavari district,786033,1688025212.3045945
97,andhra-pradesh,2018,2,kurnool district,968439,1531888665.6843233
98,andhra-pradesh,2018,2,chittoor district,1185723,1990419125.8937118
99,andhra-pradesh,2018,2,guntur district,1088101,2108475811.7859967
100,andhra-pradesh,2018,2,krishna district,1224987,2448141593.4919834
101,andhra-pradesh,2018,3,east godavari district,3226907,3551247095.307447
102,andhra-pradesh,2018,3,srikakulam district,1073883,1318322236.598471
103,andhra-pradesh,2018,3,spsr nellore district,1308890,2215938596.185108
104,andhra-pradesh,2018,3,vizianagaram district,970132,1163546006.895916
105,andhra-pradesh,2018,3,visakhapatnam district,3394576,4821892253.393524
106,andhra-pradesh,2018,3,prakasam district,1319651,2346453445.483843
107,andhra-pradesh,2018,3,anantapur district,1815215,2681787750.464165
108,andhra-pradesh,2018,3,ysr district,1557444,2235904512.2542048
109,andhra-pradesh,2018,3,west godavari district,1431282,2309078492.8058147
110,andhra-pradesh,2018,3,kurnool district,2921189,2908389261.539773
111,andhra-pradesh,2018,3,chittoor district,2297429,3283517630.720593
112,andhra-pradesh,2018,3,guntur district,1912529,3127764663.180438
113,andhra-pradesh,2018,3,krishna district,2396934,3754202654.3844614
114,andhra-pradesh,2018,4,east godavari district,3052762,4652624623.436675
115,andhra-pradesh,2018,4,srikakulam district,1252807,1870278609.504549
116,andhra-pradesh,2018,4,spsr nellore district,1814997,3293448556.9734454
117,andhra-pradesh,2018,4,vizianagaram district,1386787,1817673252.5417767
118,andhra-pradesh,2018,4,visakhapatnam district,4791421,7366635864.849373
119,andhra-pradesh,2018,4,prakasam district,1692862,3255254226.03728
120,andhra-pradesh,2018,4,anantapur district,2286391,3975878156.329829
121,andhra-pradesh,2018,4,ysr district,1732527,3252340063.2478595
122,andhra-pradesh,2018,4,west godavari district,1688482,3237504255.4632454
123,andhra-pradesh,2018,4,kurnool district,2508530,3626544852.4069242
124,andhra-pradesh,2018,4,chittoor district,3166201,4979093890.223491
125,andhra-pradesh,2018,4,guntur district,2546620,4730251217.696959
126,andhra-pradesh,2018,4,krishna district,2839161,5416251838.130407
127,andhra-pradesh,2019,1,east godavari district,5440146,7382264724.59952
128,andhra-pradesh,2019,1,srikakulam district,2526855,3407912878.4152584
129,andhra-pradesh,2019,1,spsr nellore district,3333584,5161932216.216368
130,andhra-pradesh,2019,1,vizianagaram district,2798241,3364576948.299301
131,andhra-pradesh,2019,1,visakhapatnam district,9690866,13459857440.552685
132,andhra-pradesh,2019,1,prakasam district,2931081,4807527779.215151
133,andhra-pradesh,2019,1,anantapur district,3891336,6044730653.191345
134,andhra-pradesh,2019,1,ysr district,2852197,4915811593.896078
135,andhra-pradesh,2019,1,west godavari district,2829437,4623764455.47309
136,andhra-pradesh,2019,1,kurnool district,4193432,5541564892.509682
137,andhra-pradesh,2019,1,chittoor district,6486813,8223371732.233585
138,andhra-pradesh,2019,1,guntur district,4846553,7765934169.404485
139,andhra-pradesh,2019,1,krishna district,5443981,9061346433.072681
140,andhra-pradesh,2019,2,east godavari district,4699261,9116404622.47651
141,andhra-pradesh,2019,2,srikakulam district,2019203,4066576539.936839
142,andhra-pradesh,2019,2,spsr nellore district,3141891,6880873007.4820595
143,andhra-pradesh,2019,2,vizianagaram district,2272320,4443041665.039663
144,andhra-pradesh,2019,2,visakhapatnam district,11705738,20797479804.029076
145,andhra-pradesh,2019,2,prakasam district,2670529,6262396448.455349
146,andhra-pradesh,2019,2,anantapur district,3578836,7830782361.377665
147,andhra-pradesh,2019,2,ysr district,2606284,6376856828.130632
148,andhra-pradesh,2019,2,west godavari district,2402074,5676818258.955046
149,andhra-pradesh,2019,2,kurnool district,3895824,7358285187.018034
150,andhra-pradesh,2019,2,chittoor district,5983308,10982727976.224325
151,andhra-pradesh,2019,2,guntur district,5005275,10405246943.481495
152,andhra-pradesh,2019,2,krishna district,6428472,13437029115.620754
153,andhra-pradesh,2019,3,east godavari district,6537303,11387726470.57774
154,andhra-pradesh,2019,3,srikakulam district,2556296,4610131289.524039
155,andhra-pradesh,2019,3,spsr nellore district,4150195,8256600118.735449
156,andhra-pradesh,2019,3,vizianagaram district,2861581,4922069039.19216
157,andhra-pradesh,2019,3,visakhapatnam district,16694947,26944837120.046288
158,andhra-pradesh,2019,3,prakasam district,3430750,7354502261.150911
159,andhra-pradesh,2019,3,anantapur district,4889720,9554081289.488277
160,andhra-pradesh,2019,3,ysr district,3296586,7447544274.2117815
161,andhra-pradesh,2019,3,west godavari district,3179541,6627629029.01413
162,andhra-pradesh,2019,3,kurnool district,5139134,9025632779.412457
163,andhra-pradesh,2019,3,chittoor district,8201783,13837455758.755266
164,andhra-pradesh,2019,3,guntur district,6942304,13075661264.188034
165,andhra-pradesh,2019,3,krishna district,8408474,16404073560.500784
166,andhra-pradesh,2019,4,east godavari district,9285739,16816774065.301317
167,andhra-pradesh,2019,4,srikakulam district,3712555,6832369301.879345
168,andhra-pradesh,2019,4,spsr nellore district,5877804,11786014089.194027
169,andhra-pradesh,2019,4,vizianagaram district,3998234,7175851807.068796
170,andhra-pradesh,2019,4,visakhapatnam district,23594874,39133296330.044624
171,andhra-pradesh,2019,4,prakasam district,4865473,10604077824.801035
172,andhra-pradesh,2019,4,anantapur district,6764112,13887248889.064066
173,andhra-pradesh,2019,4,ysr district,4793157,10865073855.730783
174,andhra-pradesh,2019,4,west godavari district,4596479,9710614747.20177
175,andhra-pradesh,2019,4,kurnool district,7001958,13233105728.54823
176,andhra-pradesh,2019,4,chittoor district,11246986,19298476027.875484
177,andhra-pradesh,2019,4,guntur district,9761330,18565626418.035915
178,andhra-pradesh,2019,4,krishna district,11719402,23039786404.04664
179,andhra-pradesh,2020,1,east godavari district,11346242,21854701379.428688
180,andhra-pradesh,2020,1,srikakulam district,4835092,9777575594.177538
181,andhra-pradesh,2020,1,spsr nellore district,7430247,15387829694.446861
182,andhra-pradesh,2020,1,vizianagaram district,5042066,9879174240.920494
183,andhra-pradesh,2020,1,visakhapatnam district,27115031,48809747614.678894
184,andhra-pradesh,2020,1,prakasam district,6318396,14169104764.526735
185,andhra-pradesh,2020,1,anantapur district,8466129,17864325752.82528
186,andhra-pradesh,2020,1,ysr district,6031255,14059924636.819912
187,andhra-pradesh,2020,1,west godavari district,5919670,12995834340.716236
188,andhra-pradesh,2020,1,kurnool district,8246869,17022710311.813046
189,andhra-pradesh,2020,1,chittoor district,13257740,23441848567.344193
190,andhra-pradesh,2020,1,guntur district,11493331,22992734620.64621
191,andhra-pradesh,2020,1,krishna district,12175289,24481702770.71471
192,andhra-pradesh,2020,2,east godavari district,13130334,26319906327.32029
193,andhra-pradesh,2020,2,srikakulam district,6425515,12153650076.875832
194,andhra-pradesh,2020,2,spsr nellore district,9454274,20665376460.772232
195,andhra-pradesh,2020,2,vizianagaram district,6690313,12819344389.545382
196,andhra-pradesh,2020,2,visakhapatnam district,25300401,48293889917.41437
197,andhra-pradesh,2020,2,prakasam district,8844580,19846026726.904335
198,andhra-pradesh,2020,2,anantapur district,10473739,22094006659.412506
199,andhra-pradesh,2020,2,ysr district,8033609,19597207268.132023
200,andhra-pradesh,2020,2,west godavari district,7273096,16585866855.159784
201,andhra-pradesh,2020,2,kurnool district,9821381,22419372061.805172
202,andhra-pradesh,2020,2,chittoor district,14848197,27361300300.01902
203,andhra-pradesh,2020,2,guntur district,12308707,27463593607.839108
204,andhra-pradesh,2020,2,krishna district,12313709,26964149095.366295
205,andhra-pradesh,2020,3,east godavari district,17972431,39300043804.75851
206,andhra-pradesh,2020,3,srikakulam district,8286289,18029574581.337425
207,andhra-pradesh,2020,3,spsr nellore district,16468209,39128324534.03022
208,andhra-pradesh,2020,3,vizianagaram district,8236703,17567816576.501263
209,andhra-pradesh,2020,3,visakhapatnam district,34421299,67628440368.111465
210,andhra-pradesh,2020,3,prakasam district,12266310,31221704852.44969
211,andhra-pradesh,2020,3,anantapur district,14447683,34102037972.65785
212,andhra-pradesh,2020,3,ysr district,11934653,32037007334.12973
213,andhra-pradesh,2020,3,west godavari district,10412351,25408608725.754295
214,andhra-pradesh,2020,3,kurnool district,13243292,32529351107.17173
215,andhra-pradesh,2020,3,chittoor district,20501863,42811566246.16463
216,andhra-pradesh,2020,3,guntur district,17601395,42531195809.75448
217,andhra-pradesh,2020,3,krishna district,19110457,44788458672.084435
218,andhra-pradesh,2020,4,east godavari district,25989490,58732615663.118416
219,andhra-pradesh,2020,4,srikakulam district,11092184,25222520275.27882
220,andhra-pradesh,2020,4,spsr nellore district,20934374,49115443663.37911
221,andhra-pradesh,2020,4,vizianagaram district,10580824,24094847668.445065
222,andhra-pradesh,2020,4,visakhapatnam district,46551467,91879823025.40399
223,andhra-pradesh,2020,4,prakasam district,16176867,41852443493.515396
224,andhra-pradesh,2020,4,anantapur district,20996384,49732610814.26222
225,andhra-pradesh,2020,4,ysr district,15676878,42572974713.44026
226,andhra-pradesh,2020,4,west godavari district,15674762,40310975762.603455
227,andhra-pradesh,2020,4,kurnool district,18737323,44718203115.22612
228,andhra-pradesh,2020,4,chittoor district,29590411,61505711149.79541
229,andhra-pradesh,2020,4,guntur district,26136538,60641872021.25432
230,andhra-pradesh,2020,4,krishna district,27981050,64461504667.60723
231,andhra-pradesh,2021,1,east godavari district,26190701,60027984987.96951
232,andhra-pradesh,2021,1,srikakulam district,11160473,26486623313.092724
233,andhra-pradesh,2021,1,spsr nellore district,22541428,52210333201.53073
234,andhra-pradesh,2021,1,vizianagaram district,10514582,24153782497.243248
235,andhra-pradesh,2021,1,visakhapatnam district,48248923,95308386037.84721
236,andhra-pradesh,2021,1,prakasam district,15175395,41396223622.174774
237,andhra-pradesh,2021,1,anantapur district,20102957,48353870395.01808
238,andhra-pradesh,2021,1,ysr district,15374473,42570919448.50447
239,andhra-pradesh,2021,1,west godavari district,16015685,42124030669.36126
240,andhra-pradesh,2021,1,kurnool district,17918524,44941629659.56964
241,andhra-pradesh,2021,1,chittoor district,29342609,60947491846.66089
242,andhra-pradesh,2021,1,guntur district,27445045,64207987853.108406
243,andhra-pradesh,2021,1,krishna district,29717175,69715406644.53485
244,andhra-pradesh,2021,2,east godavari district,31717908,74604325863.66068
245,andhra-pradesh,2021,2,srikakulam district,13546232,32298129544.540867
246,andhra-pradesh,2021,2,spsr nellore district,30290406,72283071757.09679
247,andhra-pradesh,2021,2,vizianagaram district,12689494,29140685236.830723
248,andhra-pradesh,2021,2,visakhapatnam district,54390299,114439012713.35336
249,andhra-pradesh,2021,2,prakasam district,19944047,54535328043.04135
250,andhra-pradesh,2021,2,anantapur district,25123346,60987487571.279915
251,andhra-pradesh,2021,2,ysr district,18457361,52523527031.02132
252,andhra-pradesh,2021,2,west godavari district,20950964,57233116236.18796
253,andhra-pradesh,2021,2,kurnool district,21972396,56659287474.995804
254,andhra-pradesh,2021,2,chittoor district,34344902,73654690122.43158
255,andhra-pradesh,2021,2,guntur district,32968819,82356914463.83287
256,andhra-pradesh,2021,2,krishna district,36370960,90021923049.96454
257,andhra-pradesh,2021,3,east godavari district,39572714,89380370072.7078
258,andhra-pradesh,2021,3,srikakulam district,15639768,34836400769.876816
259,andhra-pradesh,2021,3,spsr nellore district,34411958,77839676988.30869
260,andhra-pradesh,2021,3,vizianagaram district,14510005,31383541628.212524
261,andhra-pradesh,2021,3,visakhapatnam district,69220981,136945652159.26515
262,andhra-pradesh,2021,3,prakasam district,24116580,63367713446.928055
263,andhra-pradesh,2021,3,anantapur district,30366444,70291248155.64975
264,andhra-pradesh,2021,3,ysr district,22439316,60683557724.652336
265,andhra-pradesh,2021,3,west godavari district,26245039,66647238455.1675
266,andhra-pradesh,2021,3,kurnool district,26377809,62527453761.59807
267,andhra-pradesh,2021,3,chittoor district,42628568,89371931753.04831
268,andhra-pradesh,2021,3,guntur district,41675093,96525353090.12305
269,andhra-pradesh,2021,3,krishna district,44828275,104417897558.58972
270,andhra-pradesh,2021,4,east godavari district,48992531,106725597026.00356
271,andhra-pradesh,2021,4,srikakulam district,18501857,39713657870.15512
272,andhra-pradesh,2021,4,spsr nellore district,41921081,92256405076.26547
273,andhra-pradesh,2021,4,vizianagaram district,17253059,36577529464.9687
274,andhra-pradesh,2021,4,visakhapatnam district,82711538,159530099772.73474
275,andhra-pradesh,2021,4,prakasam district,27858275,71323060008.47623
276,andhra-pradesh,2021,4,anantapur district,36129136,81239787006.64764
277,andhra-pradesh,2021,4,ysr district,26340348,69081850069.2033
278,andhra-pradesh,2021,4,west godavari district,33235175,81292461575.08182
279,andhra-pradesh,2021,4,kurnool district,31782248,73968947669.64754
280,andhra-pradesh,2021,4,chittoor district,51119640,103985734663.73514
281,andhra-pradesh,2021,4,guntur district,50919286,115553993673.17337
282,andhra-pradesh,2021,4,krishna district,55489829,125015323207.89836
283,andhra-pradesh,2022,1,east godavari district,54738830,121067103712.79568
284,andhra-pradesh,2022,1,srikakulam district,20990782,46898912115.649216
285,andhra-pradesh,2022,1,spsr nellore district,47645702,104895571602.13988
286,andhra-pradesh,2022,1,vizianagaram district,19278262,41994853361.58879
287,andhra-pradesh,2022,1,visakhapatnam district,88233362,170120350591.26004
288,andhra-pradesh,2022,1,prakasam district,31340975,79494373254.71565
289,andhra-pradesh,2022,1,anantapur district,40613148,90197023268.43825
290,andhra-pradesh,2022,1,ysr district,29783739,78421693518.90942
291,andhra-pradesh,2022,1,west godavari district,37271259,92397939903.60938
292,andhra-pradesh,2022,1,kurnool district,35093633,81568420500.54749
293,andhra-pradesh,2022,1,chittoor district,58561024,117900595508.634
294,andhra-pradesh,2022,1,guntur district,57226996,129673727687.08942
295,andhra-pradesh,2022,1,krishna district,61826199,139690081529.49048
296,andhra-pradesh,2022,2,east godavari district,62072845,135531452997.6391
297,andhra-pradesh,2022,2,srikakulam district,23727353,53754764122.4327
298,andhra-pradesh,2022,2,spsr nellore district,54838708,121941082043.49483
299,andhra-pradesh,2022,2,vizianagaram district,21766135,47294745020.495636
300,andhra-pradesh,2022,2,visakhapatnam district,101387402,193242841582.14285
301,andhra-pradesh,2022,2,prakasam district,36163507,90435082545.97766
302,andhra-pradesh,2022,2,anantapur district,46099366,102138758015.76915
303,andhra-pradesh,2022,2,ysr district,33154559,87601310069.59737
304,andhra-pradesh,2022,2,west godavari district,44409239,107973244960.42824
305,andhra-pradesh,2022,2,kurnool district,40165692,92409350855.50198
306,andhra-pradesh,2022,2,chittoor district,67507661,136435445124.75616
307,andhra-pradesh,2022,2,guntur district,66315749,147098141568.7623
308,andhra-pradesh,2022,2,krishna district,73525814,163997729295.93134
309,andhra-pradesh,2022,3,east godavari district,61467134,129677722169.74829
310,andhra-pradesh,2022,3,srikakulam district,22126541,46899962921.785614
311,andhra-pradesh,2022,3,spsr nellore district,42116582,95099325968.25972
312,andhra-pradesh,2022,3,vizianagaram district,20440645,42513313394.84207
313,andhra-pradesh,2022,3,visakhapatnam district,97434546,181124419863.61444
314,andhra-pradesh,2022,3,prakasam district,35376080,87475230073.46387
315,andhra-pradesh,2022,3,anantapur district,45165363,97735649608.10074
316,andhra-pradesh,2022,3,ysr district,33119038,86016932181.12372
317,andhra-pradesh,2022,3,west godavari district,43635951,101706854744.31876
318,andhra-pradesh,2022,3,kurnool district,39557913,88415335176.31995
319,andhra-pradesh,2022,3,chittoor district,65751781,133053581631.6395
320,andhra-pradesh,2022,3,guntur district,65612317,141588522953.23773
321,andhra-pradesh,2022,3,krishna district,71051144,153770559025.69125
322,andhra-pradesh,2022,4,east godavari district,68016055,136531110139.86256
323,andhra-pradesh,2022,4,srikakulam district,23693779,47726411107.88628
324,andhra-pradesh,2022,4,spsr nellore district,42582064,92085916180.6851
325,andhra-pradesh,2022,4,vizianagaram district,22205190,44467386404.34758
326,andhra-pradesh,2022,4,visakhapatnam district,103790055,185306149744.73108
327,andhra-pradesh,2022,4,prakasam district,37211077,88105031866.36835
328,andhra-pradesh,2022,4,anantapur district,48299601,101533878537.23433
329,andhra-pradesh,2022,4,ysr district,35201596,87360426792.81667
330,andhra-pradesh,2022,4,west godavari district,47919930,105335724990.59325
331,andhra-pradesh,2022,4,kurnool district,43524766,94667441029.08345
332,andhra-pradesh,2022,4,chittoor district,70322534,136840859888.18155
333,andhra-pradesh,2022,4,guntur district,70723763,146938735166.52365
334,andhra-pradesh,2022,4,krishna district,76526667,157826011193.35443
335,andhra-pradesh,2023,1,east godavari district,115196449,223454724672.0
336,andhra-pradesh,2023,1,srikakulam district,42209999,86486032409.0
337,andhra-pradesh,2023,1,spsr nellore district,71318689,143967164643.0
338,andhra-pradesh,2023,1,vizianagaram district,38838861,76472384525.0
339,andhra-pradesh,2023,1,visakhapatnam district,164358781,277211090180.0
340,andhra-pradesh,2023,1,prakasam district,63671149,141672839638.0
341,andhra-pradesh,2023,1,anantapur district,82127373,162287796625.0
342,andhra-pradesh,2023,1,ysr district,59768512,140117633668.0
343,andhra-pradesh,2023,1,west godavari district,79094558,165941144654.0
344,andhra-pradesh,2023,1,kurnool district,72405172,149100361797.0
345,andhra-pradesh,2023,1,chittoor district,120192355,218037027226.0
346,andhra-pradesh,2023,1,guntur district,114246185,226244225817.0
347,andhra-pradesh,2023,1,krishna district,122104381,238058890676.0
348,andhra-pradesh,2023,2,east godavari district,131243375,245134717109.0
349,andhra-pradesh,2023,2,srikakulam district,47633204,93082175904.0
350,andhra-pradesh,2023,2,spsr nellore district,82056071,165181391414.0
351,andhra-pradesh,2023,2,vizianagaram district,43625851,82671020353.0
352,andhra-pradesh,2023,2,visakhapatnam district,184918179,303874597259.0
353,andhra-pradesh,2023,2,prakasam district,73598725,158428689659.0
354,andhra-pradesh,2023,2,anantapur district,91695174,180050369328.0
355,andhra-pradesh,2023,2,ysr district,66809788,156231915019.0
356,andhra-pradesh,2023,2,west godavari district,92533269,187699526244.0
357,andhra-pradesh,2023,2,kurnool district,81475907,166991990104.0
358,andhra-pradesh,2023,2,chittoor district,136283483,245550525910.0
359,andhra-pradesh,2023,2,guntur district,132035450,254140764680.0
360,andhra-pradesh,2023,2,krishna district,141748488,267001403933.0
361,andhra-pradesh,2023,3,east godavari district,148701666,260414286361.0
362,andhra-pradesh,2023,3,srikakulam district,51382393,91818203167.0
363,andhra-pradesh,2023,3,spsr nellore district,93875073,176593750929.0
364,andhra-pradesh,2023,3,vizianagaram district,47856766,83289704541.0
365,andhra-pradesh,2023,3,visakhapatnam district,209884966,328927220951.0
366,andhra-pradesh,2023,3,prakasam district,84447202,171207298619.0
367,andhra-pradesh,2023,3,anantapur district,104539628,192477441164.0
368,andhra-pradesh,2023,3,ysr district,76091693,168218516193.0
369,andhra-pradesh,2023,3,west godavari district,102962058,191891823401.0
370,andhra-pradesh,2023,3,kurnool district,92890445,172979053545.0
371,andhra-pradesh,2023,3,chittoor district,152863845,265404757144.0
372,andhra-pradesh,2023,3,guntur district,150246761,270651818044.0
373,andhra-pradesh,2023,3,krishna district,159421907,279540224039.0
374,andhra-pradesh,2023,4,east godavari district,162793144,282329255747.0
375,andhra-pradesh,2023,4,srikakulam district,56291337,97021746702.0
376,andhra-pradesh,2023,4,spsr nellore district,97721962,179306028468.0
377,andhra-pradesh,2023,4,vizianagaram district,53248760,90289502507.0
378,andhra-pradesh,2023,4,visakhapatnam district,223584765,344512874812.0
379,andhra-pradesh,2023,4,prakasam district,89721677,174929737360.0
380,andhra-pradesh,2023,4,anantapur district,113698752,203367177888.0
381,andhra-pradesh,2023,4,ysr district,83729195,176644897379.0
382,andhra-pradesh,2023,4,west godavari district,114825704,209237892746.0
383,andhra-pradesh,2023,4,kurnool district,103816175,190597527675.0
384,andhra-pradesh,2023,4,chittoor district,163521593,274132458092.0
385,andhra-pradesh,2023,4,guntur district,160724947,281806839570.0
386,andhra-pradesh,2023,4,krishna district,173309415,298339038877.0
387,andhra-pradesh,2024,1,east godavari district,179489444,306324309402.0
388,andhra-pradesh,2024,1,srikakulam district,66267698,118669200655.0
389,andhra-pradesh,2024,1,spsr nellore district,108549115,190803645040.0
390,andhra-pradesh,2024,1,vizianagaram district,61170983,105672797741.0
391,andhra-pradesh,2024,1,visakhapatnam district,238418938,363341573689.0
392,andhra-pradesh,2024,1,prakasam district,99550457,187480623851.0
393,andhra-pradesh,2024,1,anantapur district,125240418,212681689201.0
394,andhra-pradesh,2024,1,ysr district,94211451,190227479302.0
395,andhra-pradesh,2024,1,west godavari district,127602250,228733104931.0
396,andhra-pradesh,2024,1,kurnool district,115036343,204805909023.0
